time,label,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
0.0,whale,-355.0602,136.93266,96.35513,49.85489,15.890913,2.9758308,6.9441338,16.178429,20.263638,15.907646,6.828785,-0.95276743,-4.068347
0.023219954648526078,whale,-351.6342,141.81674,100.81766,52.443222,14.975075,-1.7757325,0.10519278,10.288216,17.72616,16.913965,9.382493,0.5799396,-4.7936196
0.046439909297052155,whale,-357.68488,134.18016,95.35834,49.151978,12.919384,-3.448893,-1.2255528,9.889147,18.595413,18.43385,10.187023,-0.43650186,-7.533559
0.06965986394557823,whale,-360.417,131.1057,94.05679,49.259327,12.953581,-5.0625386,-5.0875397,4.523444,13.307718,14.706173,8.715144,0.19687772,-5.3805923
0.09287981859410431,whale,-364.16574,125.861496,89.10391,45.00692,9.694256,-7.5490217,-7.5854073,1.175454,8.992184,10.436771,6.2228518,0.8423054,-1.6470947
0.11609977324263039,whale,-365.00888,124.407074,87.17231,43.022156,8.44505,-7.5596294,-6.5900445,2.3721635,9.668064,10.536833,6.365856,1.7463863,0.19646621
0.13931972789115646,non-whale,-365.05795,123.64047,84.957596,40.008488,6.2791233,-7.483658,-4.236102,5.587263,11.846371,10.569752,4.555643,-0.60121405,-1.382137
0.16253968253968254,non-whale,-363.8957,124.84147,84.927444,38.269974,2.8766098,-11.919966,-8.719438,1.9054126,9.184238,8.381178,1.9163983,-4.2910233,-5.85146
0.18575963718820862,non-whale,-364.7295,123.95772,84.683525,38.496502,3.0895426,-12.05154,-9.094036,1.6238923,9.057749,7.8717327,0.1228973,-7.93787,-10.981222
0.2089795918367347,non-whale,-362.23865,127.49693,88.206635,41.812286,5.8575,-10.193787,-8.326428,1.4934907,8.659397,8.137947,1.9565058,-4.0806255,-5.3993645
0.23219954648526078,non-whale,-359.90228,130.07275,89.09718,41.187225,4.8196764,-10.426446,-7.2072854,3.655013,11.150322,10.454468,4.0346003,-2.151728,-3.820471
0.25541950113378686,non-whale,-360.44275,129.72699,89.725006,42.70228,6.5889664,-9.134102,-6.7801933,3.2766457,10.204925,8.981549,1.7319329,-5.699848,-8.719881
0.2786394557823129,non-whale,-362.0793,127.8803,89.09508,43.563793,8.660912,-6.5525236,-4.542487,4.4482307,9.938483,7.371125,-0.6741611,-8.061594,-10.213581
0.301859410430839,non-whale,-359.94293,130.43059,90.47604,43.670147,8.001515,-7.153598,-4.36868,5.713957,12.202105,10.351055,2.8130517,-4.1136794,-5.834336
0.3250793650793651,non-whale,-360.19598,130.884,92.66493,46.971893,10.610729,-6.934307,-6.9089403,1.6039917,8.385627,8.083399,2.0396934,-4.4176507,-6.6496916
0.34829931972789113,non-whale,-360.9326,129.84691,91.59186,45.7289,9.045517,-8.846828,-8.973468,-0.25341582,7.0668745,7.4076414,1.8240719,-4.507136,-6.8496857
